Movie Title,Release Date,Wikipedia URL,Genre,Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue,profit,director,return on investment,year
42,12-04-2013,https://en.wikipedia.org/wiki/42_(film),Biography,Harrison Ford,Chadwick Boseman,Christopher Meloni,Ryan Merriman,Andre Holland,40000000,97500000,57500000,Brian Helgeland,143.75%,2013
71,07-02-2014,https://en.wikipedia.org/wiki/%252771_(film),Action,Jack O'Connell,Richard Dormer,Sean Harris,Sam Reid,unknown,8100000,2900000,-5200000,Yann Demange,-64.20%,2014
10 Cloverfield Lane,08-03-2016,https://en.wikipedia.org/wiki/10_Cloverfield_Lane,Thriller,Mary Elizabeth Winstead,John Goodman,John Gallagher,unknown,unknown,15000000,108300000,93300000,Dan Trachtenberg,622.00%,2016
13 Hours: The Secret Soldiers of Benghazi,15-01-2016,https://en.wikipedia.org/wiki/13_Hours:_The_Secret_Soldiers_of_Benghazi,Action,James Badge Dale,John Krasinski,Toby Stephens,Pablo Schreiber,Max Martini,45000000,69400000,24400000,Michael Bay,54.22%,2016
2 Guns,02-08-2013,https://en.wikipedia.org/wiki/2_Guns,Action,Mark Wahlberg,Denzel Washington,Paula Patton,Bill Paxton,Edward James Olmos,61000000,131900000,70900000,Baltasar Kormákur,116.23%,2013
21 Jump Street,16-03-2012,https://en.wikipedia.org/wiki/21_Jump_Street_(film),Comedy,Jonah Hill,Channing Tatum,Ice Cube,Brie Larson,Rob Riggle,55000000,201500000,146500000,Phil Lord,266.36%,2012
22 Jump Street,04-06-2014,https://en.wikipedia.org/wiki/22_Jump_Street,Action,Channing Tatum,Jonah Hill,Ice Cube,unknown,unknown,84500000,331300000,246800000,Phil Lord,292.07%,2014
300: Rise of an Empire,04-03-2014,https://en.wikipedia.org/wiki/300:_Rise_of_an_Empire,Action,Rodrigo Santoro,Eva Green,Sullivan Stapleton,Hans Matheson,Lena Headey,110000000,337600000,227600000,Noam Murro,206.91%,2014
90 Minutes in Heaven,11-09-2015,https://en.wikipedia.org/wiki/90_Minutes_in_Heaven_(film),Drama,Hayden Christensen,Kate Bosworth,Dwight Yoakam,Michael W. Smith,unknown,5000000,4800000,-200000,Michael Polish,-4.00%,2015
A Good Day to Die Hard,14-02-2013,https://en.wikipedia.org/wiki/A_Good_Day_to_Die_Hard,Action,Bruce Willis,Jai Courtney,Sebastian Koch,Yuliya Snigir,Radivoje BukviÄ‡,92000000,304700000,212700000,John Moore,231.20%,2013
A Haunted House,11-01-2013,https://en.wikipedia.org/wiki/A_Haunted_House_(film),Comedy,Marlon Wayans,Nick Swardson,David Koechner,Essence Atkins,Cedric the Entertainer,2500000,60100000,57600000,Michael Tiddes,2304.00%,2013
A Haunted House 2,18-04-2014,https://en.wikipedia.org/wiki/A_Haunted_House_2,Comedy,Marlon Wayans,Jaime Pressly,Essence Atkins,Cedric the Entertainer,Gabriel Iglesias,4000000,24000000,20000000,Michael Tiddes,500.00%,2014
A Long Way Down,10-02-2014,https://en.wikipedia.org/wiki/A_Long_Way_Down_(film),Comedy,Toni Collette,Pierce Brosnan,Aaron Paul,Imogen Poots,unknown,22700000,7100000,-15600000,Pascal Chaumeil,-68.72%,2014
A Most Violent Year,06-11-2014,https://en.wikipedia.org/wiki/A_Most_Violent_Year,Action,Oscar Isaac,Jessica Chastain,Alessandro Nivola,David Oyelowo,Albert Brooks,20000000,12000000,-8000000,J. C. Chandor,-40.00%,2014
A Most Wanted Man,19-01-2014,https://en.wikipedia.org/wiki/A_Most_Wanted_Man_(film),Thriller,Philip Seymour Hoffman,Rachel McAdams,Robin Wright,Willem Dafoe,Grigoriy Dobrygin,15000000,36200000,21200000,Anton Corbijn,141.33%,2014
A Thousand Words,09-03-2012,https://en.wikipedia.org/wiki/A_Thousand_Words_(film),Comedy,Eddie Murphy,Kerry Washington,Cliff Curtis,Clark Duke,Allison Janney,40000000,22000000,-18000000,Brian Robbins,-45.00%,2012
A Walk Among the Tombstones,19-09-2014,https://en.wikipedia.org/wiki/A_Walk_Among_the_Tombstones_(film),Crime,Liam Neeson,Dan Stevens,Ruth Wilson,Boyd Holbrook,unknown,28000000,58800000,30800000,Scott Frank,110.00%,2014
A Walk in the Woods,23-01-2015,https://en.wikipedia.org/wiki/A_Walk_in_the_Woods_(film),Adventure,Robert Redford,Nick Nolte,Emma Thompson,unknown,unknown,8000000,36000000,28000000,Ken Kwapis,350.00%,2015
Abraham Lincoln: Vampire Hunter,22-06-2012,https://en.wikipedia.org/wiki/Abraham_Lincoln:_Vampire_Hunter_(film),Horror,Benjamin Walker,Dominic Cooper,Anthony Mackie,Mary Elizabeth Winstead,Rufus Sewell,99500000,116400000,16900000,Timur Bekmambetov,16.98%,2012
After Earth,31-05-2013,https://en.wikipedia.org/wiki/After_Earth,Sci-Fi,Jaden Smith,Will Smith,Isabelle Fuhrman,Zoe Kravitz,unknown,130000000,243800000,113800000,M. Night Shyamalan,87.54%,2013
Ain't Them Bodies Saints,16-08-2013,https://en.wikipedia.org/wiki/Ain%2527t_Them_Bodies_Saints,Drama,Casey Affleck,Rooney Mara,Ben Foster,Rami Malek,Keith Carradine,4000000,1000000,-3000000,David Lowery,-75.00%,2013
Alex Cross,19-10-2012,https://en.wikipedia.org/wiki/Alex_Cross_(film),Crime,Tyler Perry,Matthew Fox,Rachel Nichols,Edward Burns,Jean Reno,35000000,34600000,-400000,Rob Cohen,-1.14%,2012
Aloha,27-05-2015,https://en.wikipedia.org/wiki/Aloha_(film),Romance,Bradley Cooper,Emma Stone,Alec Baldwin,Rachel McAdams,Bill Murray,52000000,26300000,-25700000,Cameron Crowe,-49.42%,2015
Alvin and the Chipmunks: The Road Chip,18-12-2015,https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_The_Road_Chip,Comedy,Jason Lee,Tony Hale,Kimberly Williams-Paisley,Josh Green,Bella Thorne,90000000,234800000,144800000,Walt Becker,160.89%,2015
American Reunion,06-04-2012,https://en.wikipedia.org/wiki/American_Reunion,Comedy,Alyson Hannigan,Seann William Scott,Tara Reid,Jason Biggs,Eugene Levy,50000000,235000000,185000000,Jon Hurwitz,370.00%,2012
American Sniper,11-11-2014,https://en.wikipedia.org/wiki/American_Sniper,Drama,Bradley Cooper,Sienna Miller,Max Charles,Luke Grimes,unknown,58800000,547400000,488600000,Clint Eastwood,830.95%,2014
American Ultra,21-08-2015,https://en.wikipedia.org/wiki/American_Ultra,Action,Jesse Eisenberg,Kristen Stewart,Connie Britton,Topher Grace,John Leguizamo,28000000,27100000,-900000,Nima Nourizadeh,-3.21%,2015
Amy,16-06-2015,https://en.wikipedia.org/wiki/Amy_(2015_film),Biography,Amy Winehouse,Mitchell Winehouse,Janis Winehouse,Raye Cosbert,Nick Shymansky,3400000,22000000,18600000,Asif Kapadia,547.06%,2015
Annabelle,26-09-2014,https://en.wikipedia.org/wiki/Annabelle_(film),Horror,Annabelle Wallis,Alfre Woodard,Eric Ladin,Brian Howe,unknown,6500000,256900000,250400000,John R. Leonetti,3852.31%,2014
Annie,07-12-2014,https://en.wikipedia.org/wiki/Annie_(2014_film),Comedy,Quvenzhané Wallis,Jamie Foxx,Cameron Diaz,Rose Byrne,Bobby Cannavale,65000000,133800000,68800000,Will Gluck,105.85%,2014
Ant-Man,29-06-2015,https://en.wikipedia.org/wiki/Ant-Man_(film),Action,Paul Rudd,Evangeline Lilly,Corey Stoll,Bobby Cannavale,Michael PeÃ±a,130000000,519400000,389400000,Peyton Reed,299.54%,2015
Argo,12-10-2012,https://en.wikipedia.org/wiki/Argo_(2012_film),Drama,Ben Affleck,John Goodman,Alan Arkin,Bryan Cranston,Victor Garber,44500000,232300000,187800000,Ben Affleck,422.02%,2012
"As Above, So Below",29-08-2014,"https://en.wikipedia.org/wiki/As_Above,_So_Below_(film)",Horror,Perdita Weeks,Ben Feldman,Edwin Hodge,FranÃ§ois Civil,Marion Lambert,5000000,5000000,0,John Erick Dowdle,0.00%,2014
Bad Moms,29-07-2016,https://en.wikipedia.org/wiki/Bad_Moms,Comedy,Mila Kunis,Christina Applegate,Kristen Bell,Jada Pinkett Smith,Kathryn Hahn,20000000,124200000,104200000,Jon Lucas,521.00%,2016
Barbershop: The Next Cut,15-04-2016,https://en.wikipedia.org/wiki/Barbershop:_The_Next_Cut,Comedy,Ice Cube,Cedric the Entertainer,Nicki Minaj,Regina Hall,Eve,20000000,55000000,35000000,Malcolm D. Lee,175.00%,2016
Batman v Superman: Dawn of Justice,19-03-2016,https://en.wikipedia.org/wiki/Batman_v_Superman:_Dawn_of_Justice,Action,Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg,Diane Lane,250000000,872700000,622700000,Zack Snyder,249.08%,2016
Batman: The Killing Joke,25-07-2016,https://en.wikipedia.org/wiki/Batman:_The_Killing_Joke_(film),Action,Kevin Conroy,Mark Hamill,Tara Strong,Ray Wise,unknown,3500000,4400000,900000,Sam Liu,25.71%,2016
Battle of the Year,20-09-2013,https://en.wikipedia.org/wiki/Battle_of_the_Year_(film),Musical,Josh Holloway,Laz Alonso,Josh Peck,Caity Lotz,Chris Brown,20000000,16500000,-3500000,Benson Lee,-17.50%,2013
Battleship,18-05-2012,https://en.wikipedia.org/wiki/Battleship_(film),Action,Alexander Skarsgard,Taylor Kitsch,Brooklyn Decker,Rihanna,Liam Neeson,220000000,303000000,83000000,Peter Berg,37.73%,2012
Beasts of the Southern Wild,27-06-2012,https://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild,Drama,Quvenzhané Wallis,Dwight Henry,unknown,unknown,unknown,1800000,21900000,20100000,Benh Zeitlin,1116.67%,2012
